Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score
Inovalon,Lean Manufacturing,300,5,22,89,88,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80
Cognizant TriZetto,Lean Manufacturing,400,5.8,18,90,85,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85
Orion Health,Lean Manufacturing,400,5.5,18,88,85,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80
Practice Fusion,Lean Manufacturing,300,4,18,87,92,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80
Zocdoc,Agile SCM,150,7.7,10,93,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
Doximity,Lean Manufacturing,500,9,14,90,89,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85
Teladoc Health,Lean Manufacturing,1200,2,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85
American Well,Agile SCM,359,1,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85
MDLive,Sustainable SCM,459,7,4,95,88,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,80,12,5,High,90,85
Doctor on Demand,Agile SCM,876,8,15,95,91,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,78,8,12,Medium,88,85
Livongo Health,Lean Manufacturing,655,5,12,89,88,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80
Omada Health,Agile SCM,4444,5.8,8,94,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85
Proteus Digital Health,Demand-Driven SCM,433,4,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Pear Therapeutics,Agile SCM,12000,4,9,93,90,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,85,10,7,High,90,85
Akili Interactive,Lean Manufacturing,300,6,5,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,85,11,5,High,90,85
Happify Health,Agile SCM,200,4.5,10,92,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
WellDoc,Lean Manufacturing,"20,000",6.5,10,92,87,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85
BioTelemetry,Agile SCM,500,6,8,94,93,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85
iRhythm Technologies,Lean Manufacturing,100,4.2,20,89,85,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,80,9,12,Medium,85,80
Insulet,Vendor Managed Inventory,200,4.5,7,98,92,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90
Tandem Diabetes Care,Efficient Consumer Response,"20,000",10,18,87,89,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80
Senseonics,Sustainable SCM,400,6.2,9,93,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Dexcom,Lean Manufacturing,"1,500",4.2,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80
Invitae,Agile SCM,200,5,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
23andMe,Lean Manufacturing,500,6,10,90,88,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,82,11,8,High,87,85
Myriad Genetics,Agile SCM,300,5,12,88,89,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,75,8,15,Medium,80,78
Illumina,Demand-Driven SCM,500,5.2,12,89,88,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80
Guardant Health,Lean Manufacturing,250,4.2,12,90,90,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,80,9,8,High,88,85
Tesla,Agile SCM,300,4.2,14,90,91,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85
Toyota,Vendor Managed Inventory,250,5.8,10,92,87,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85
General Motors,Vendor Managed Inventory,"10,000",4,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
Ford,Agile SCM,100,10,14,88,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,80,10,10,Medium,85,80
Honda,Agile SCM,"75,000",4,8,94,88,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85
BMW,Sustainable SCM,"70,000",6,11,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Mercedes-Benz,Vendor Managed Inventory,100,5.2,10,90,92,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85
Audi,Just-In-Time,200,6,11,90,88,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,85,10,8,High,88,85
Volkswagen,Vendor Managed Inventory,500,50,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
Nissan,Lean Manufacturing,300,6.2,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Hyundai,Lean Manufacturing,300,4.2,12,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Kia,Lean Manufacturing,500,10,2,98,85,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85
Subaru,Vendor Managed Inventory,400,5.2,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Volvo,Agile SCM,150,3.5,18,87,85,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80
Land Rover,Vendor Managed Inventory,100,8.2,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80
Jaguar,Agile SCM,200,5.2,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80
Mazda,Agile SCM,150,7,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Mitsubishi,Lean Manufacturing,"20,000",5.5,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Porsche,Lean Manufacturing,100,6,10,90,90,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85
Ferrari,Agile SCM,"1,300,000",6,10,92,85,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85
Lamborghini,Lean Manufacturing,200,10,10,92,88,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
Bugatti,Vendor Managed Inventory,300,8.3,20,88,94,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80
Rolls-Royce,Lean Manufacturing,100,6,18,90,91,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85
Bentley,Demand-Driven SCM,400,5,7,98,89,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90
Aston Martin,Lean Manufacturing,150,7.5,10,93,87,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
Maserati,Sustainable SCM,150,6,12,91,91,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
McLaren,Lean Manufacturing,100,6,22,89,89,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80
Koenigsegg,Vendor Managed Inventory,300,4,10,94,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
Rimac,Lean Manufacturing,150,4.2,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80
Lucid Motors,Vendor Managed Inventory,500,4.5,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Rivian,Agile SCM,400,5,20,88,88,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80
Fisker,Lean Manufacturing,300,4.5,12,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
NIO,Agile SCM,300,4,12,89,93,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80
Xpeng Motors,Sustainable SCM,100,5,11,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Li Auto,Lean Manufacturing,300,5.8,7,98,90,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90
Faraday Future,Agile SCM,300,5.5,18,88,88,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80
Canoo,Lean Manufacturing,"10,000",4,12,91,85,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85
Lordstown Motors,Vendor Managed Inventory,"20,000",7.7,11,90,94,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Nikola,Agile SCM,500,5,14,90,91,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,80,10,10,Medium,85,80
Proterra,Sustainable SCM,200,5.8,7,99,89,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,88,15,3,High,95,90
Arrival,Vendor Managed Inventory,100,4,10,93,93,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
BYD,Just-In-Time,150,4,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Geely,Lean Manufacturing,250,6,7,98,93,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90
Changan,Agile SCM,400,4.5,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Great Wall Motors,Demand-Driven SCM,200,6.5,9,92,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,85,12,8,High,88,85
SAIC Motor,Agile SCM,"20,000",6,2,98,91,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85
FAW Group,Agile SCM,500,4.2,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85
Dongfeng Motor,Agile SCM,200,4.5,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85
BAIC Group,Cross-Docking,300,10,10,92,92,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85
Tata Motors,Agile SCM,100,6.2,10,92,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Mahindra & Mahindra,Lean Manufacturing,250,4.2,9,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Hero MotoCorp,Just-In-Time,"20,000",5,7,98,90,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90
Bajaj Auto,Agile SCM,150,6,2,98,89,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85
TVS Motor Company,Demand-Driven SCM,"1,300,000",5,10,92,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
Piaggio,Vendor Managed Inventory,200,5.2,15,91,90,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80
Suzuki,Vendor Managed Inventory,200,4.2,3,97,91,"AI, Robotics, Blockchain",,High,1,98,90,High,Advanced,High,"$1,200B",85,18,5,High,90,88
Yamaha,Vendor Managed Inventory,500,4.2,12,91,90,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85
Kawasaki,Lean Manufacturing,150,5.8,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
Harley-Davidson,Lean Manufacturing,250,4,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Indian Motorcycle,Lean Manufacturing,300,10,12,91,87,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Polaris,Lean Manufacturing,"100,000",4,10,90,88,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85
BRP Inc.,Agile SCM,200,6,22,89,85,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80
Zero Motorcycles,Lean Manufacturing,"10,000",5.2,18,90,85,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85
Energica,Agile SCM,"1,000,000",6,18,88,92,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80
Lightning Motorcycles,Lean Manufacturing,200,50,18,87,88,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80
Damon Motorcycles,Cross-Docking,300,6.2,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
Zapp Scooters,Agile SCM,150,4.2,14,90,90,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85
Gogoro,Lean Manufacturing,100,10,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,82,12,7,High,90,85
Ather Energy,Agile SCM,100,5.2,15,91,88,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,81,10,12,Medium,85,85
Ola Electric,Sustainable SCM,300,3.5,4,95,91,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,85,12,5,High,90,85
Bounce,Agile SCM,400,8.2,15,95,88,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,85,8,12,Medium,88,85
Lime,Lean Manufacturing,400,5.2,12,89,91,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80
Bird,Agile SCM,300,7,8,94,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85
Spin,Demand-Driven SCM,150,5.5,11,90,90,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Tier Mobility,Agile SCM,500,6,9,93,90,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,80,10,7,High,90,85
Voi Technology,Lean Manufacturing,300,6,5,93,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,80,11,5,High,90,85
Bolt Mobility,Agile SCM,200,10,10,92,87,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
Segway-Ninebot,Lean Manufacturing,"20,000",8.3,10,92,93,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,85,12,8,High,89,85
Unagi Scooters,Agile SCM,500,6,8,94,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,82,12,7,High,90,85
Boosted,Lean Manufacturing,100,5,20,89,92,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,81,9,12,Medium,85,80
Acton,Vendor Managed Inventory,200,7.5,7,98,89,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,85,12,3,High,95,90
Swagtron,Efficient Consumer Response,"20,000",6,18,87,89,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80
Razor,Sustainable SCM,400,6,9,93,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Yadea,Lean Manufacturing,"1,500",4,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,85,10,10,Medium,85,80
Niu Technologies,Agile SCM,200,4.2,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
ElectraMeccanica,Lean Manufacturing,500,4.5,10,90,89,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,80,11,8,High,87,85
Arcimoto,Agile SCM,300,5,12,88,88,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,80,8,15,Medium,80,78
Aptera,Demand-Driven SCM,500,4.5,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80
Sono Motors,Lean Manufacturing,250,4,12,90,91,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,85,9,8,High,88,85
Lightyear,Agile SCM,300,5,14,90,87,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,82,9,12,Medium,85,85
Fisker,Vendor Managed Inventory,250,5.8,10,92,89,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,81,11,8,High,88,85
Karma Automotive,Vendor Managed Inventory,"10,000",5.5,10,94,90,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
Lotus Cars,Agile SCM,100,4,14,88,88,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,85,10,10,Medium,85,80
TVR,Agile SCM,"75,000",7.7,8,94,89,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85
Pininfarina,Sustainable SCM,"70,000",9,11,91,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Italdesign,Vendor Managed Inventory,100,2,10,90,88,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85
Magna International,Just-In-Time,200,1,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,80,10,8,High,88,85
Continental AG,Vendor Managed Inventory,500,7,10,93,92,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,80,10,8,High,90,85
Bosch,Lean Manufacturing,300,8,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Denso,Lean Manufacturing,300,5,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
ZF Friedrichshafen,Lean Manufacturing,500,5.8,2,98,88,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",82,20,5,High,90,85
Valeo,Vendor Managed Inventory,400,4,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,81,11,10,High,88,85
Aisin Seiki,Agile SCM,150,4,18,87,90,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80
Aptiv,Vendor Managed Inventory,100,6,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80
Lear Corporation,Agile SCM,200,4.5,18,88,88,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,85,10,12,Medium,85,80
BorgWarner,Agile SCM,150,6.5,11,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Faurecia,Lean Manufacturing,"20,000",6,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Adient,Lean Manufacturing,100,4.2,10,90,85,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,80,11,8,High,88,85
Autoliv,Agile SCM,"1,300,000",4.5,10,92,88,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,80,11,8,High,88,85
Hyundai Mobis,Lean Manufacturing,200,10,10,92,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
Schaeffler Group,Vendor Managed Inventory,300,6.2,20,88,91,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,85,10,12,Medium,85,80
Hella,Lean Manufacturing,100,4.2,18,90,89,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,82,11,10,Medium,85,85
Magna Steyr,Demand-Driven SCM,400,5,7,98,87,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,81,12,3,High,95,90
KUKA,Lean Manufacturing,150,6,10,93,91,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
Visteon,Sustainable SCM,150,5,12,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Yanfeng Automotive Interiors,Lean Manufacturing,100,5.2,22,89,88,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80
JTEKT,Vendor Managed Inventory,300,4.2,10,94,85,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
NSK Ltd.,Lean Manufacturing,150,4.2,15,91,89,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,85,10,10,Medium,85,80
Knorr-Bremse,Vendor Managed Inventory,500,5.8,11,90,88,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,80,9,10,High,87,80
Brembo,Agile SCM,400,4,20,88,90,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80
Bridgestone,Lean Manufacturing,300,10,12,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Michelin,Agile SCM,300,4,12,89,85,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80
Goodyear,Sustainable SCM,100,6,11,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,82,11,10,High,88,85
Continental Tire,Lean Manufacturing,300,5.2,7,98,88,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,81,12,3,High,95,90
Pirelli,Agile SCM,300,6,18,88,85,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,85,10,12,Medium,85,80
Yokohama Rubber,Lean Manufacturing,"10,000",50,12,91,94,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85
Hankook Tire,Vendor Managed Inventory,"20,000",6.2,11,90,91,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Cooper Tire & Rubber,Agile SCM,500,4.2,14,90,89,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,85,10,10,Medium,85,80
Sumitomo Rubber,Sustainable SCM,200,10,7,99,93,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,85,15,3,High,95,90
Toyo Tires,Vendor Managed Inventory,100,5.2,10,93,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,80,10,8,High,90,85
Apollo Tyres,Just-In-Time,150,3.5,12,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,80,11,10,High,88,85
Kumho Tire,Lean Manufacturing,250,8.2,7,98,92,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,85,12,3,High,95,90
Nexen Tire,Agile SCM,400,5.2,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Nokian Tyres,Demand-Driven SCM,200,7,9,92,91,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,82,12,8,High,88,85
Giti Tire,Agile SCM,"20,000",5.5,2,98,90,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",81,20,5,High,90,85
Linglong Tire,Agile SCM,500,6,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,85,10,12,Medium,85,85
Sailun Tire,Agile SCM,200,6,8,94,92,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85
Triangle Tire,Cross-Docking,300,10,10,92,94,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,85,12,8,High,89,85
Cheng Shin Rubber,Agile SCM,100,8.3,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
ZC Rubber,Lean Manufacturing,250,6,9,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Guizhou Tyre,Just-In-Time,"20,000",5,7,98,89,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,80,12,3,High,95,90
JK Tyre & Industries,Agile SCM,150,7.5,2,98,91,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85
MRF Tyres,Demand-Driven SCM,"1,300,000",6,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
CEAT,Vendor Managed Inventory,200,6,15,91,91,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,85,10,10,Medium,85,80
Balkrishna Industries,Vendor Managed Inventory,200,4,3,97,90,"AI, Robotics, Blockchain",,High,1,98,90,High,Advanced,High,"$1,200B",82,18,5,High,90,88
ATG (Alliance Tire Group),Vendor Managed Inventory,500,4.2,12,91,89,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,81,11,10,High,88,85
